"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"Pear Therapeutics  Inc. - Class A","PEAR","1","2","3.5","2","40","276","Technology","Global","0","5","56.8"
"BuzzFeed  Inc. - Class A","PIII","1","2","3.5","2","61","316.25","Consumer","Global","1","5","56.2"
"Hagerty  Inc. Class A","HGTY","1","0.87","3.5","5","57","115","General","Global","0","5","53.4"
"Innovid Corp.","CTV","1","2","3.5","3","44","253","Technology","EEMEA","0","7","52.14285714"
"Local Bounti Corporation","LOCL","1","2","3.5","1","52","275","Consumer","Global","0","5","56"
"Lottery.com","LTRY","1","2.5","2.5","2","46","201.25","Energy","EEMEA","0","8","48.125"
"Nextdoor Holdings  Inc. Class A","KIND","1","2","3","2","32","57.5","General","US/Canada","0","8","54.5"
"Better Therapeutics  Inc.","BTTX","1","2","3.5","2","47","416.34","Technology","Global","0","6","57.83333333"
"DocGo Inc.","DCGO","1","2","3.5","1","61","115","Technology","Global","0","8","50.125"
"The Oncology Institute  Inc.","TOI","1","2","3.5","4","58","230","Healthcare","Global","0","5","59.8"
"Embark Technology  Inc.","EMBK","1","2","3.5","3","61","414","General","Global","0","5","51.6"
"Aurora Innovation  Inc.  - Class A","AUR","1","2","3.5","4","44","977.5","Technology","Global","0","7","57.14285714"
"SAB Biotherapeutics  Inc.","SABS","1","2","3.5","1","60","143.75","General","Global","0","8","49"
"Redbox Entertainment Inc. - Class A","RDBX","1","1.33","3.67","2","45","115","Healthcare","Global","0","6","61.33333333"
"Mirion Technologies  Inc. Class A","MIR","1","2","3.5","2","34","750","General","Global","0","6","57.16666667"
"WeWork Inc. Class A","WE","1","2","3.5","1","58","483","Technology","Global","0","9","54.33333333"
"Navitas Semiconductor Corporation","NVTS","1","2","3.19","2","55","253","General","Global","0","9","45.66666667"
"Enjoy Technology  Inc.","ENJY","1","2","3.5","1","60","207.37","Financial","Global","0","7","54.57142857"
"Bakkt Holdings  Inc. Class A","BKKT","1","2","3.5","1","51","373.75","Technology","Global","0","8","55.875"
"ESS Tech  Inc.","GWH","1","2","3.5","4","54","250","General","Global","0","8","48.5"
"Science 37 Holdings  Inc.","SNCE","1","2","3.28","2","46","80.09","Healthcare","US/Canada","1","8","50.625"
"IonQ  Inc.","IONQ","1","2","3.5","3","40","300","Media & Entertainment","Global","0","8","48.875"
"Benson Hill  Inc.","BHIL","1","2","3.5","2","55","402.5","General","US/Canada","0","6","62.66666667"
"Velo3D  Inc.","SHPW","1","2","3.5","3","59","138","Consumer","Global","1","6","45.83333333"
"Shapeways Holdings  Inc.","VLD","1","2","3.5","1","34","345","Technology","Global","0","5","56.2"
"Sarcos Technology and Robotics Corporation","STRC","1","2","3.5","2","52","100","Healthcare","Global","0","7","56.14285714"
"Jasper Therapeutics  Inc. - Class A","JSPR","1","2","3.5","1","60","276","General","Global","0","3","46.33333333"
"Nerdy Inc. Class A","NRDY","1","2","3.5","5","","450","Technology","Global","0","7","54.28571429"
"Vicarious Surgical Inc. Class A","RBOT","1","2","3.5","1","65","345","Consumer","Global","0","5","50.2"
"Ginkgo Bioworks Holdings  Inc. Class A","ACHR","1","2","3.5","1","49","500","Media & Entertainment","Global","1","3","52.66666667"
"Archer Aviation Inc. Class A","DNA","1","1.5","3.5","1","70","1725","General","Global","0","8","46.25"
"Archaea Energy Inc. Class A","LFG","1","2","3.5","3","40","237.25","Energy","Global","0","10","52.8"
"Helbiz  Inc. - Class A","HLBZ","1","2","2.5","2","53","57.5","Healthcare","Global","1","3","39"
"Clarus Therapeutics Holdings  Inc.","BKSY","1","2","3.5","2","49","316.25","Technology","Global","0","6","46.33333333"
"TMC the metals company Inc.","CRXT","1","2","3.5","1","48","57.5","Healthcare","Global","0","9","46.55555556"
"BlackSky Technology Inc. Class A","TMC","1","2","3.5","1","46","300","General","Global","0","7","59.28571429"
"Redwire Corporation","RCOR","1","0.58","0","2","45","86.23","Healthcare","Global","0","5","55.2"
"Renovacor  Inc.","RDW","1","2","3.5","1","60","163.78","Industrial","Global","0","10","53.5"
"SomaLogic  Inc. - Class A","OPAD","1","2","3.5","2","47","402.5","General","Global","0","7","58.14285714"
"Offerpad Solutions Inc. Class A","SLGC","1","2","3.5","1","47","276","Healthcare","Global","0","6","53.33333333"
"Cipher Mining Inc.","CIFR","1","5.82","4.5","4","74","170","General","Global","1","5","58.6"
"Humacyte  Inc.","HUMA","1","2","3.5","2","45","100","Healthcare","US/Canada","0","5","41.6"
"Volta  Inc. Class A","IRNT","1","2","3.5","2","51","172.5","Industrial","Global","0","7","57.57142857"
"IronNet  Inc.","VLTA","1","2","3.5","3","55","345","Energy","Global","0","10","52.9"
"eFFECTOR Therapeutics  Inc.","EFTR","1","2","3.5","1","50","175","Healthcare","Global","0","6","55.5"
"SmartRent  Inc. Class A","RKLB","1","2","3.5","2","53","320","Technology","Global","0","5","59.4"
"Rocket Lab USA  Inc.","SMRT","1","2","3.5","2","39","345","Real Estate","Global","0","6","45.33333333"
